,JobLink,JobTitle,AccountName,JobLocation,JobDescription,JobId,PostDate,titleScore,State,CompanyLink
18,https://www.indeed.com/rc/clk?jk=bc672be0bd8d3b43&fccid=a8aaf8c0c1fa1249,Manager - Data & Analytics,Teachers Credit Union,"South Bend, IN",Ensure the availability  definition  access  security and integrity of all organizational data through a comprehensive Data Governance program,bc672be0bd8d3b43,2017-02-02,80,IN,https://www.tcunet.com/
19,https://www.indeed.com/rc/clk?jk=0f131d017f286c7f&fccid=9be36e427503e50b,Data Governance Director,Athene,"West Des Moines, IA",Establishes a data governance program that   Manages and develops individuals within Data Governance  3  years of implementing and or managing a data governance,0f131d017f286c7f,2017-02-04,95,IA,www.atheneannuity.com/
21,https://www.indeed.com/rc/clk?jk=2c279a5040b1803f&fccid=e20f21cc25c93ee5,Master Data Governance and Quality Manager,Orora,"Tempe, AZ",Data governance practices  including data governance program lifecycles  This position reports to the Enterprise Data Manager and is responsible for the end to,2c279a5040b1803f,2017-01-31,95,AZ,https://www.ororagroup.com/
22,https://www.indeed.com/rc/clk?jk=f3ae219093f96cf3&fccid=1392500f835bba92,Data Governance Manager,Bnp Paribas,"San Ramon, CA",Measure and monitor data quality  including processes to Data Governance standards  security  Disaster Recovery  Business Continuity  service resilience and,f3ae219093f96cf3,2017-02-08,95,CA,https://group.bnpparibas/en/
24,https://www.indeed.com/rc/clk?jk=867e5e3b4fa9159a&fccid=e5627ae4ca628ab2,Manager - Data Governance,Carmax,"Richmond, VA",Passionate about data quality and data governance  7  years of experience leading Data Governance  Data Management  and or Data Quality initiatives,867e5e3b4fa9159a,2017-02-05,95,VA,https://www.carmax.com/
25,https://www.indeed.com/rc/clk?jk=6329e2d6054ff78c&fccid=6ce7e0d9f67a9961,Data Governance Manager,Discover Financial Services,"Riverwoods, IL",Knowledge of Data Governance  Data Quality  and Enterprise Data Management concepts  Supports the Enterprise data model  Data Governance and Data Quality,6329e2d6054ff78c,2017-02-03,95,IL,https://www.discover.com/company/
26,https://www.indeed.com/rc/clk?jk=b5def4ad6a0787c0&fccid=772dcd74d92a6864,Data Governance Manager,Bank Of The West,"San Ramon, CA",Measure and monitor data quality  including processes to Data Governance standards  security  Disaster Recovery  Business Continuity  service resilience and,b5def4ad6a0787c0,2017-02-08,95,CA,https://www.bankofthewest.com/
27,https://www.indeed.com/rc/clk?jk=43c45f2c4f916b99&fccid=ae5bfc395c530fbc,Data Governance Manager,U.S. Bank,"Charlotte, NC",Data Governance Manager  US Bank is looking for a Data Governance Manager to support our efforts in implementing our Enterprise Data Governance Policy,43c45f2c4f916b99,2017-02-03,95,NC,https://www.usbank.com/
28,https://www.indeed.com/rc/clk?jk=6171a660343a76f4&fccid=65c89b6d6455eedf,Manager of Data Governance,T. Rowe Price,"Owings Mills, MD",Data Governance Tools   Practices   Reporting to the Group Manager  Data Governance this position is responsible for implementing the data governance strategy,6171a660343a76f4,2017-02-02,95,MD,https://www3.troweprice.com/usis/corporate/en/home.html
29,https://www.indeed.com/rc/clk?jk=7d19126c3391e85b&fccid=2c62e4de04b8f952,Reporting & Data Governance Manager Nike,Nike,,As the Reporting   Data Governance Manager in GSM you will own and support the core capabilities of Information Management     data delivery  data governance,7d19126c3391e85b,2017-01-30,95,,www.nike.com/
40,https://www.indeed.com/rc/clk?jk=92f7747ebce7fbc9&fccid=40a4c5390ac10de9,"Senior Director, Data Governance",Silicon Valley Bank,"Santa Clara, CA",Experience in operationalizing Data governance and Data Quality  The Senior Director  Data Governance is a senior leadership role with the primary,92f7747ebce7fbc9,2017-02-10,95,CA,https://www.svb.com/
41,https://www.indeed.com/rc/clk?jk=9a547e256e6de8e6&fccid=79bd6aafbadfa288,Master Data Manager,Weber-Stephen Products Llc,"Palatine, IL",Data Governance Process Design   Responsible for staying current on data management   data governance training  business rules and data standards as they are,9a547e256e6de8e6,2017-01-17,80,IL,www.weber.com/
